 IN_MODEL                  Unknown Client            Do not have               From File                 TIME_SERIES.DAT                                              YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                Caripetuba-Abaetetuba (PP_000005)                            YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -48.9080600000000                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.65253900000000                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                Barcarena_terminalHydro (PP_000004)                          YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -48.7753916666667                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.56742222222222                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                Rio Para (PP_000014)                                         YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -49.3414166666667                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.72158333333333                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 NAME                      ModuleTimeSerie           *****                     From Block                Ilha de Cotijuba (PP_000008)                                 YES
 DEPTH_LEVEL               ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 COORD_X                   ModuleTimeSerie           Do not have               From Block                -48.5594277777778                                            YES
 COORD_Y                   ModuleTimeSerie           Do not have               From Block                -1.22356111111111                                            YES
 LOCALIZATION_K            ModuleTimeSerie           Do not have               From Block                1                                                            YES
 LATITUDE                  ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 LONGITUDE                 ModuleTimeSerie           Do not have               From Block                -9.900000000000000E+015                                      YES
 FIRST_OUTPUT_DT           ModuleTimeSerie           0.00000000000000          From File                 0.00000000000000                                             YES
 FIRST_OUTPUT_TIME         ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015 -9.900000000000000E+015 -9.900000000 YES
